,chanel,text,date_time
0,'BBC News | Русская служба',Эмбарго ЕС на нефть из России. Сможет ли Москва обходить санкции? На этот вопрос в нашем подкасте отвечает корреспондент Би-би-си Алексей Калмыков.,2022-05-07 13:40:00
1,'Военный Осведомитель',"Украинское оперативное командование «Юг» сообщает, что по Одесской области был нанесен ракетный удар 4 крылатыми ракетами с применением стратегической авиации.В результате удара есть повреждения инфраструктуры.",2022-05-07 01:43:00
2,'Типичный Донецк',Шумно в Донецке   |  ,2022-05-07 04:52:00
3,'Типичный Донецк',Перекличка по районам!  |  ,2022-05-07 03:24:00
4,'Караульный Z',В Арцизе под Одессой есть прилёт.Оттуда с аэродрома Байрактары запускали. Теперь не будут.,2022-05-07 02:38:00
5,'Караульный Z',МИД: Нападение на дом российских журналистов в Берлине - прямое следствие развязанной на Западе травли российских СМИ.,2022-05-07 00:53:00
6,'Караульный Z',В Берлине предотвращена вероятная попытка осуществления теракта в отношении российских журналистов и членов их семей — посольство РФ,2022-05-07 00:30:00
7,'Караульный Z', Из «Азовстали» в Мариуполе сегодня эвакуировали ещё 50 человек — штаб территориальной обороны ДНР,2022-05-07 11:45:00
8,'Караульный Z', В генеральной репетиции Парада Победы принял участие парадный расчёт участников спецоперации по защите Донбасса,2022-05-07 11:11:00
9,'Милитарист',"И снова директор ЦРУ Бернс: по его словам, Китай внимательно изучает опыт боевых действий на Украине в контексте своих намерений относительно Тайваня",2022-05-07 19:52:00
10,'Милитарист',"Президент Южной Кореи Юн Сок Ёль заявил сегодня: «Мы можем встретиться с Ким Чен Ыном. Но если такие встречи носят исключительно демонстрационный характер и не приносят ощутимых результатов, то они не помогут Пхеньяну в денуклеаризации и развитии»",2022-05-07 19:16:00
11,'Милитарист',"Украинские источники сообщают, что для удара по военно-экономическим объектам Украины группировка ВКС России составила 20 самолетов - это максимальное число за все время Специальной операции",2022-05-07 15:36:00
12,'Милитарист',Сообщают о ракетных ударах в Хмельницкой области,2022-05-07 14:45:00
13,'Милитарист',"Мировые цены на лук с прошлого года выросли на 130%, что также способствует инфляции в глобальном масштабе",2022-05-07 12:48:00
14,'Милитарист',Талибы своим указом предписали женщинам носить чадру в общественных местах,2022-05-07 11:28:00
15,'Милитарист',КНДР запустила баллистическую ракету в сторону Японского моря,2022-05-07 08:34:00
16,'Репортер Украина Война Новости',Сообщают о взрывах в Ивано-Франковской области,2022-05-07 15:24:00
17,'Репортер Украина Война Новости',"Хмельницкая область, слышно взрывы!",2022-05-07 14:43:00
18,'Репортер Украина Война Новости',Взрывы в Николаевской области.,2022-05-07 14:41:00
19,'Репортер Украина Война Новости',Сообщают о сильных взрывах в Сумской области.,2022-05-07 14:40:00
20,'БелВПО',Уничтожение бандеровской понтонной переправы в Харьковской области,2022-05-07 20:05:00
21,'БелВПО',Пишут о сильных взрывах в Сумской области!,2022-05-07 14:42:00
22,'IRPIN LIFE',"Криза сприйняття втрат у рф почнеться після 80 000 загиблих, — Арестович",2022-05-07 00:32:00
23,'Новини.LIVE Odesa'," Рашисти вдарили по Одесі шістьма ракетами. ПодробиціПри цьому ворог застосував стратегічну авіацію, повідомили в ОК «Південь».Чотири ракети влучили в приватне підприємство з  виготовлення меблів. У житловому районі ударною хвилею та уламками понівечено багатоповерхівки. Ще дві ракети уразили пошкоджену раніше злітно-посадкову смугу та привод керування польотами Одеського аеропорту.Пожежу на площі близько 900 кв.м ліквідували. Завали розбирають понад 60 рятувальників. Постраждалих наразі немає.",2022-05-07 17:27:00
24,'Новини.LIVE Odesa', ВІДБІЙ ПОВІТРЯНОЇ ТРИВОГИ!,2022-05-07 15:40:00
25,'Новини.LIVE Odesa'," В Одесі було чутно вибухи. Попередньо відомо про «приліт» в одному з районів міста. Тримаймося, одесити!",2022-05-07 14:35:00
26,'Новини.LIVE Odesa'," Окупанти вдарили чотирма ракетами по ОдещиніПро це зазначили в ОК «Південь».«По Одещині нанесено ракетний удар 4 крилатими ракетами із застосуванням стратегічної авіації», – йдеться у повідомленні.Постраждалих немає, відомо, що пошкоджена інфраструктура.",2022-05-07 13:36:00
27,'Новини.LIVE Odesa', УВАГА! В ОДЕСІ ПОВІТРЯНА ТРИВОГА!,2022-05-07 13:18:00
28,'Новини.LIVE Odesa', УВАГА! ВІДБІЙ ПОВІТРЯНОЇ ТРИВОГИ!,2022-05-07 12:03:00
29,'Новини.LIVE Odesa'," В Одеській області знищили ворожий ударний безпілотник «Форпост»!Зранку 7 травня, підрозділи повітряного командування «Південь» виявили та знищили черговий розвідувально-ударний БПЛА «Форпост».Безпілотник такого типу оцінюють у понад 7 мільйонів доларів. Він може нести озброєння – контейнер з ракетою ПТРК.  Гарна робота! Дякуємо захисникам Одеси та області!",2022-05-07 11:33:00
30,'Новини.LIVE Odesa', УВАГА! ВІДБІЙ ПОВІТРЯНОЇ ТРИВОГИ!У місті було чутно звуки вибухів,2022-05-07 04:32:00
31,"'Украина Сейчас: новости, война, Россия'","«Всех детей, женщин и людей пожилого возраста эвакуировали с «Азовстали», - министр реинтеграции Верещук ",2022-05-07 19:14:00
32,"'Украина Сейчас: новости, война, Россия'","Вчера во время передачи гражданских для эвакуации из «Азовстали» погибли трое украинских бойцов, еще шестеро получили ранения. ",2022-05-07 19:02:00
33,"'Украина Сейчас: новости, война, Россия'","В Николаеве был прилет, но не по жилому району, - городской голова Александр Сенкевич во время телемарафона UA вместе. ",2022-05-07 18:30:00
34,"'Украина Сейчас: новости, война, Россия'","В сети появилась информация, что россия подняла в воздух больше 20 самолетов!Это рекорд за время войны. Оставайтесь в укрытиях! ",2022-05-07 15:23:00
35,"'Украина Сейчас: новости, война, Россия'","Сообщают о взрыве в Ивано-Франковске!Upd. Есть информация, что это мог быть просто гром  ",2022-05-07 03:18:00
36,"'Украина Сейчас: новости, война, Россия'",Момент пролета ракеты над Черкасской областью  ,2022-05-07 14:53:00
37,"'Украина Сейчас: новости, война, Россия'",В Николаевской и Хмельницкой области сообщают о взрывах! ,2022-05-07 14:44:00
